title,domain,description,stipend,location
Site Reliability Engineer Intern,IT & ITeS,"Monitor system reliability and implement automated incident response procedures. Work with monitoring tools like Prometheus, Grafana, and ELK stack. Assist in capacity planning and disaster recovery implementations.","₹13,000 - ₹21,000",Bangalore
Database Administrator Intern,IT & ITeS,"Manage and optimize MySQL, PostgreSQL, and MongoDB databases for performance and reliability. Assist in database migration projects and backup/recovery procedures. Learn about database security and compliance requirements.","₹9,000 - ₹16,000",Noida
Network Security Intern,IT & ITeS,"Configure firewalls, VPNs, and intrusion detection systems for enterprise networks. Assist in security audits and vulnerability assessments. Learn about network protocols and help implement zero-trust security models.","₹11,000 - ₹18,000",Gurgaon
Ethical Hacking Intern,IT & ITeS,Perform penetration testing on web applications and network infrastructure. Learn about OWASP top 10 vulnerabilities and security testing methodologies. Assist in preparing security assessment reports and remediation recommendations.,"₹12,000 - ₹20,000",Hyderabad
Cloud Architect Intern,IT & ITeS,"Design cloud infrastructure solutions using AWS, Azure, or Google Cloud Platform. Work on serverless architectures and container orchestration. Assist in cloud cost optimization and security best practices implementation.","₹15,000 - ₹25,000",Mumbai
Software Testing Intern,IT & ITeS,"Develop automated test scripts using Selenium, Cypress, and TestNG frameworks. Perform API testing and load testing for web applications. Support continuous integration testing and bug tracking processes.","₹8,000 - ₹14,000",Pune
Technical Writer Intern,IT & ITeS,"Create comprehensive technical documentation for software products and APIs. Write user manuals, developer guides, and system architecture documents. Collaborate with engineering teams to ensure documentation accuracy and clarity.","₹9,000 - ₹15,000",Remote
Product Manager Intern,IT & ITeS,Support product roadmap development and feature prioritization based on user feedback and market research. Assist in user story creation and sprint planning activities. Learn about product analytics and A/B testing methodologies.,"₹12,000 - ₹20,000",Bangalore
Business Analyst Intern,IT & ITeS,Analyze business requirements and translate them into technical specifications for development teams. Create process flow diagrams and user acceptance criteria. Support stakeholder meetings and project coordination activities.,"₹10,000 - ₹16,000",Delhi
Scrum Master Intern,IT & ITeS,"Facilitate agile development processes and daily standups for software teams. Learn about sprint planning, retrospectives, and backlog management. Assist in removing blockers and improving team productivity through agile methodologies.","₹11,000 - ₹17,000",Chennai
Information Security Intern,IT & ITeS,Develop security policies and procedures for organizational compliance with ISO 27001 and GDPR. Assist in security awareness training and incident response planning. Learn about identity and access management systems.,"₹10,000 - ₹17,000",Mumbai
IT Support Intern,IT & ITeS,"Provide technical support for hardware and software issues across the organization. Assist in system installations, network troubleshooting, and user training. Learn about ITIL service management and ticketing systems.","₹7,000 - ₹12,000",Kolkata
Systems Administrator Intern,IT & ITeS,"Manage Linux and Windows servers for enterprise applications and services. Assist in system monitoring, backup management, and security patch deployment. Learn about virtualization technologies and server optimization techniques.","₹9,000 - ₹15,000",Ahmedabad
ERP Implementation Intern,IT & ITeS,"Support SAP, Oracle, or Microsoft Dynamics ERP system implementations and customizations. Assist in business process mapping and user training programs. Learn about enterprise software integration and data migration procedures.","₹11,000 - ₹18,000",Pune
Salesforce Developer Intern,IT & ITeS,"Develop custom applications on the Salesforce platform using Apex, Lightning, and Visualforce. Assist in CRM customization and workflow automation. Learn about Salesforce administration and integration with third-party systems.","₹12,000 - ₹19,000",Hyderabad
WordPress Developer Intern,IT & ITeS,Build custom WordPress themes and plugins for client websites. Work on e-commerce solutions using WooCommerce and payment gateway integrations. Assist in website optimization and SEO implementation.,"₹8,000 - ₹13,000",Jaipur
E-commerce Developer Intern,IT & ITeS,"Develop online shopping platforms using Magento, Shopify, or custom solutions. Work on payment processing, inventory management, and customer review systems. Assist in mobile app development for e-commerce applications.","₹10,000 - ₹17,000",Mumbai
